id;target;source
23098;Tom puede ser mejor en inglés de lo que tú piensas que él es.;Tom might be better at French than you think he is.
23099;Decir lo que piensas no es malo.;Saying what you think frankly is not a bad thing.
23100;Algunas veces, tú piensas demasiado.;Sometimes, you think too much.
23101;Sé exactamente qué hacer.;I know just what to do.
23102;¡Dame esos cinco!;Give me five!
23103;Dame un poco de café si hay aún.;Give me some coffee if there is any left.
23104;El amor no es lo que piensas.;Love is not what you think.
23105;No estoy seguro exactamente dónde estoy.;I don't know exactly where I am.
23106;¡Dame una oportunidad!;Give me a chance!
23107;La vi hace exactamente una semana.;I saw her a week ago today.
23108;¿Qué piensas hacer con el dinero?;What do you intend to do with the money?
23109;Dame la llave.;Give me the key.
23110;Él no estaba de acuerdo conmigo exactamente.;She didn't exactly agree with me.
23111;Exactamente, ¿qué quieres que haga?;Just exactly what do you want me to do?
23112;¿Piensas que la vida es solo un sueño?;Do you think that life is but a dream?
23113;¿Qué piensas de nuestro amor?;What do you think of our love?
23114;Dame un día.;Give me a day.
23115;Dame un trabajo.;Give me a job.
23116;Creo que esto es exactamente lo que quiere Tom.;I think this is exactly what Tom wants.
23117;Dame algo para escribir.;Give me something to write with.
23118;Dame esa llave.;Give me that key.
23119;Dame un poco de dinero.;Give me a little money.
23120;¿Piensas que podemos ayudar a Tomás?;Do you think we can help Tom?
23121;Dame un par de horas más.;Give me a couple more hours.
23122;Eso es exactamente lo que quiero decir.;That's exactly what I mean.
23123;¿Piensas en alemán?;Do you think in German?
23124;¿Qué quieres exactamente que haga?;What exactly do you want me to do?
23125;¿Piensas que Tomás puede hacer eso?;Do you think Tom can do that?
23126;Por favor dame este libro.;Please give me this book.
23127;Mi hermana mayor va a la universidad.;My sister goes to a university.
23128;Bueno, ¿qué piensas de mí?;Well, what do you think of me?
23129;Él no pudo ir a la universidad.;He could not go to college.
23130;¿Cuánto tiempo piensas pasar en la biblioteca?;How long do you intend to spend at the library?
23131;¿En qué piensas?;What do you think?
23132;Dame tu dinero.;Give me your money.
23133;Dame la mano.;Shake my hand.
23134;A mí me importa más de lo que piensas.;I care more than you think.
23135;Pensé exactamente lo mismo.;I thought the same exact thing.
23136;Dame una mano con mi tarea, por favor.;Please give me a hand with my homework.
23137;No sé. ¿Tú qué piensas?;I don't know. What do you think?
23138;Ella no es la clase de persona que piensas.;She is not what you think she is.
23139;Eso es exactamente lo que quería comprar.;That is exactly what I wanted to buy.
23140;¿Qué piensas del nuevo profesor?;What do you think of the new teacher?
23141;Dame un poco más de agua.;Give me a little more water.
23142;Él está en la universidad.;He is at university.
23143;Esto es exactamente lo que estaba buscando.;This is exactly what I was looking for.
23144;Aunque tiene dos hijos y trabaja, empezó a estudiar en la universidad.;Although he works and has two kids, he has started studying at the university.
23145;Es exactamente lo que pensé.;It's exactly what I thought.
23146;Piensas demasiado.;You think too much.
23147;Así es exactamente como lo queremos.;That's exactly how I want it.
23148;¿Debería ir a la universidad?;Should I go to college?
23149;Dame el libro.;Give me the book.
23150;Si piensas eso de mí, ¿qué puedo hacer?;What can I do if you think that way about me?
23151;Exactamente, debes de ser él.;Exactly, you must be him.
23152;¡No es lo que piensas!;It's not what you think!
23153;No es tan fácil como piensas.;It's not as easy as you think.
23154;Mi hermano va a la universidad en Tokio.;My brother goes to college in Tokyo.
23155;Dame un poco más.;Give me some more.
23156;Eso es exactamente lo que él quería.;That's exactly what he wanted.
23157;Llegó a la casa exactamente a las diez.;He came home exactly at ten.
23158;¿Piensas lo mismo que yo?;Are you thinking the same I am?
23159;¡Exactamente!;Exactly!
23160;¿Y ahora qué piensas?;Now, what do you think?
23161;¿Cuál piensas que es la mejor película que has visto este año?;What do you think is the best film that you have seen this year?
23162;Quiero estudiar la historia de Japón en la universidad.;I want to study Japan's history at university.
23163;¿Piensas ir en autobús a Tokio?;Do you plan to go to Tokyo by bus?
23164;Mi hermano es estudiante de universidad.;My brother is a college student.
23165;Dame algo de beber.;Give me something to drink.
23166;Soy un estudiante en una universidad.;I am a student in a university.
23167;¿Qué clase de persona piensas que soy?;What kind of person do you think I am?
23168;Me gusta esa universidad, pero está demasiado cerca de casa.;I like that university, but it's too near my home.
23169;Dame algo con que escribir.;Give me something to write with.
23170;Dame algunos.;Give me a few.
23171;No lo sé exactamente todavía.;I don't know for certain yet.
23172;Me pregunto si alguna vez piensas en mí.;I wonder if you ever think of me.
23173;Ser profesor de universidad había sido su sueño.;It has been her dream to be a university professor.
23174;Tom pasó algunos años en Boston cuando estaba en la universidad.;Tom spent a few years in Boston when he was in college.
23175;¿Alguna vez piensas en ese chico?;Do you ever think about that guy?
23176;Dame cinco días.;Give me five days.
23177;No es exactamente lo que yo quería.;That is not quite what I wanted.
23178;No sé a qué hora exactamente va a venir.;I don't know exactly at what time she's coming.
23179;Dame tu número de teléfono por favor.;Please tell me your phone number.
23180;¿Qué piensas realmente?;What do you really think?
23181;¿Qué piensas de él realmente?;What do you really think of him?
23182;Dame una buena razón.;Give me one good reason.
23183;¿Piensas ir a Tokio en autobús?;Do you plan to go to Tokyo by bus?
23184;¿Exactamente cómo lo hiciste?;How exactly did you do it?
23185;Quisiera saber lo que tú piensas.;I'd like to know what you think.
23186;Di lo que piensas.;Speak your mind.
23187;¿Qué piensas que estaba haciendo?;What do you think I've been doing?
23188;No sabía si quería ir a la universidad.;I didn't know whether I wanted to go to university.
23189;Dame ese libro.;Give me the book.
23190;¿Qué piensas de eso?;What do you think of that?
23191;Dame tu dirección.;Give me your address.
23192;¿Piensas que yo estoy hecho de dinero?;Do you think I'm made of money?
23193;¿Piensas que soy demasiado alto?;Do you think I'm too tall?
23194;¿Piensas que sea mi culpa?;Do you think it's my fault?
23195;¿Piensas que comer con tu familia es importante?;Do you think that eating with your family is important?
23196;Dame solo una oportunidad más.;Just give me one more chance.
23197;Soy más duro de lo que piensas.;I'm tougher than you think.
23198;¿Qué exactamente ha pasado allí?;What exactly happened there?
23199;Quiero exactamente lo mismo que tú.;I want exactly what you want.
23200;Tienen exactamente la misma cara.;They have the exact same face.
23201;¿Qué piensas ahora?;What do you think now?
23202;Dame algo más de tiempo.;Give me a little more time.
23203;Dame un poco más de tiempo.;Give me a little more time.
23204;¿Qué vas a hacer en la universidad?;What are you going to do in college?
23205;Quiero saber cómo murió Tom exactamente.;I want to know exactly how Tom died.
23206;¿Vas a la universidad?;Do you go to college?
23207;Él es doctor y profesor de una universidad.;He is a doctor and a university professor.
23208;¿Cómo murió Tom exactamente?;How exactly did Tom die?
23209;¿Qué ha pasado allí exactamente?;What exactly happened there?
23210;¿Qué piensas que dijo?;What do you think she said?
23211;¿Qué es exactamente lo que querés que haga?;What exactly is it you want me to do?
23212;Dame tiempo.;Give me time.
23213;Quiero saber qué piensas.;I want to know what you think.
23214;¿Piensas ir a la universidad?;Are you thinking of going to university?
23215;Eso es exactamente lo que necesita.;That's just what she needs.
23216;Dame su foto.;Give me her picture.
23217;Eso es exactamente lo que quería.;That is just what I wanted.
23218;Tom es exactamente la clase de tipo con el que María quiere salir.;Tom is exactly the sort of guy Mary wants to hang out with.
23219;Dame una mano.;Lend me a hand.
23220;Dame algo de comer.;Give me something to eat.
23221;No sé exactamente.;I don't know exactly.
23222;Quiero ir a la universidad.;I want to go to college.
23223;¿Qué piensas de la nueva película?;What do you think of the new movie?
23224;Está en el primer año de universidad.;He's a freshman.
23225;¡Vamos! Dame una oportunidad.;Come on! Give me a chance.
23226;Dame una hora.;Give me an hour.
23227;Dame diez minutos.;Give me ten minutes.
23228;¿Qué piensas de él?;What do you think of him?
23229;¡Así! Exactamente así.;You said it!
23230;Tom y John son buenos amigos.;Tom and John are good friends.
23231;Yo le haré feliz.;I will make her happy.
23232;Aún no sé qué haré.;I don't know what I'm going to do yet.
23233;Haré lo que pueda.;I'll do what I can.
23234;Ella fue desde Londres a París.;She went from London to Paris.
23235;Se lo haré saber a Tom.;I'll notify Tom.
23236;Hoy también lo haré lo mejor que pueda.;I'll try my best today, too.
23237;Haré algo.;I'll do something.
23238;Haré todo lo posible para ir.;I will do everything I can to go.
23239;Voy a ir a Londres este verano.;I'm going to London this summer.
23240;Él fue a Londres hace un mes.;He went to London a month ago.
23241;Un día estaba perdido en Londres.;One day I was lost in London.
23242;Te haré un poco de café.;I'll make you some coffee.
23243;Haré lo que haga falta.;I'll do whatever it takes.
23244;Haré eso ahora mismo.;I'll do that right now.
23245;Haré más que eso.;I'll do more than that.
23246;Él está en una situación mucho mejor que en la que estaba hace diez años.;He is far better off than he was ten years ago.
23247;Lo haré mañana.;I will do it tomorrow.
23248;Yo haré mi tarea más tarde.;I’ll do my homework later.
23249;Son muy buenos amigos.;They're really tight.
23250;Haré todo lo que pueda.;I'll do everything I can.
23251;He estado en Londres dos veces.;I have been to London twice.
23252;Se fue a Londres a estudiar inglés.;He went to London to study English.
23253;Buenos días. ¿Qué quieres?;Good day. What do you want?
23254;Tom y Mary son los dos buenos estudiantes.;Tom and Mary are both good students.
23255;El tren llegó a Londres.;The train arrived in London.
23256;Todos estamos en la misma situación.;We are all in the same situation.
23257;Tom y yo somos buenos amigos.;Tom and I are good friends.
23258;Estoy en Londres.;I am in London.
23259;Haré lo mejor que pueda.;I will do the best I can.
23260;Me gustaría ir a Londres.;I'd like to visit London.
23261;No es la situación que hace al hombre, sino el hombre que hace la situación.;It is not the situation that makes the man, but the man who makes the situation.
23262;No todos los libros son buenos libros.;Not all books are good books.
23263;Haré todo por él.;I'll do everything for him.
23264;¡Buenos días!;Good morning!
23265;No sé qué es lo próximo que haré.;I don't know what I'm going to do next.
23266;Yo haré cualquier cosa por ti.;I will do anything for you.
23267;Él estuvo en Londres tres veces.;He has been to London three times.
23268;Se dijo a sí mismo, "lo haré".;He said to himself, "I will do it."
23269;El estudiante vino de Londres.;The student came from London.
23270;¿Cuándo llegó usted a Londres?;When did you get to London?
23271;Lo haré.;I'll do it.
23272;Sé que estamos en una situación difícil.;I know the situation is very difficult for us.
23273;Tengo tiempo, así que lo haré.;I have time, so I'll do it.
23274;No sé qué haré.;I do not know what I will do.
23275;Quiero ir a Londres.;I want to go to London.
23276;Lo haré tan pronto como pueda.;I'll do it as soon as I can.
23277;Les haré saber.;I'll let them know.
23278;Le haré saber.;I'll let him know.
23279;No lo haré otra vez.;I'm not doing it again.
23280;No, yo no haré eso.;No, I won't do that.
